plaintext,ciphertext,cipher_type,key
random forest is a strong classifier!,DBSPANKADFXFUTFEFSTZSDQMETNRUFW,VIGENERE,MBFM
cryptography is fun!,LEUMSFPEWMGPRFBRM,VIGENERE,JNWXZR
SIDE CHANNEL ATTACKS ARE DANGEROUS,CSNOMRKXXOVKDDKMUCKBONKXQOBYEC,CAESAR,10
this project uses python,C9D5D4CE9DCDCFD2D7D8DEC99DC8CED8CE9DCDC4C9D5D2D3,XOR,189
ciphertext only attack scenario,32382139342325342925713E3F3D287130252530323A712232343F3023383E,XOR,81
cryptography is fun,1809020B0F141C091A0B13025B12085B1D0E15,XOR,123
>> ciphertext only attack scenario,EKRJGTVGZVQPNACVVCEMUEGPCTKQ,CAESAR,2
ciphertext only attack scenario,FLSKHUWHAWRQOBDWWDFNVFHQDULR,CAESAR,3
security depends on implementation,AEB8BEA8AFB4A9A4FDB9B8ADB8B3B9AEFDB2B3FDB4B0ADB1B8B0B8B3A9BCA9B4B2B3,XOR,221
this project uses python!,MABLIKHCXVMNLXLIRMAHG,CAESAR,19
>> this project uses python,35352B7F6362782B7B7964616E687F2B7E786E782B7B727F636465,XOR,11
security depends on implementation,AKXQBQZTZOXKIZCWTDIZTKHAXBGOEYV,VIGENERE,IGVWK
This project uses python,OBRGKLXXZWCINYBDTNQCI,VIGENERE,VUJO
data preprocessing is important,SPIPEGTEGDRTHHXCVXHXBEDGIPCI,CAESAR,15
>> security depends on implementation,VHFXULWBGHSHQGVRQLPSOHPHQWDWLRQ,CAESAR,3
CIPHERTEXT ONLY ATTACK SCENARIO,070D140C011610011C10640B0A081D6405101005070F641707010A05160D0B,XOR,68
Artificial intelligence changes security,IZBQNQKQITQVBMTTQOMVKMKPIVOMAAMKCZQBG,CAESAR,8
Data preprocessing is important,SPIPEGTEGDRTHHXCVXHXBEDGIPCI,CAESAR,15
Ciphertext only attack scenario,BF958C94998E88998488DC93929085DC9D88889D9F97DC8F9F99929D8E9593,XOR,252
ciphertext only attack scenario,B1BBA2BAB7A0A6B7AAA6F2BDBCBEABF2B3A6A6B3B1B9F2A1B1B7BCB3A0BBBD,XOR,210
Ciphertext only attack scenario,58726B737E696F7E636F3B747577623B7A6F6F7A78703B68787E757A697274,XOR,27
Artificial intelligence changes security,EVXMJMGMEPMRXIPPMKIRGIGLERKIWWIGYVMXC,CAESAR,4
CIPHERTEXT ONLY ATTACK SCENARIO,VOLRKKZAHZHTHIGMZWMQLIAXGKOK,VIGENERE,TGWKG
>> classical ciphers are educational,DNUFAJEUYKJRBRZTCLRMEWWNBJQHNT,VIGENERE,BCUNI
cryptography is fun,WZDMNWLOUXMVCAKRH,VIGENERE,UIFX
>> side channel attacks are dangerous,50504E1D070A0B4E0D060F00000B024E0F1A1A0F0D051D4E0F1C0B4E0A0F00090B1C011B1D,XOR,110
ciphertext only attack scenario,FLSKHUWHAWRQOBDWWDFNVFHQDULR,CAESAR,3
>> artificial intelligence changes security,MDFURUOUMXUZFQXXUSQZOQOTMZSQEEQOGDUFK,CAESAR,12
>> security depends on implementation,GSQIFWHMRSDSBRGCBWADZSASBHOHWCB,CAESAR,14
artificial intelligence changes security,ZSEOAHDTGGHOEKGKJRKIBFNNVMHPYNDDFXDSZ,VIGENERE,ZBLGV
this project uses python,MEMZUQHGIJYTLBWWDSALR,VIGENERE,TXEHFZ
artificial intelligence changes security!,GXZOLOIOGROTZKRROMKTIKINGTMKYYKIAXOZE,CAESAR,6
data preprocessing is important!,BABFAABFFEAEACBBAEACB1BDBBADADB7B0B9FEB7ADFEB7B3AEB1ACAABFB0AAFF,XOR,222
This project uses python,QEFPMOLGBZQRPBPMVQELK,CAESAR,23
machine learning enhances cryptanalysis!,CQSXYDUBUQHDYDWUDXQDSUISHOFJQDQBOIYI,CAESAR,16
THIS PROJECT USES PYTHON,CGPZPANQLCCTZLSYXAOOW,VIGENERE,JZHHA
this project uses python!,VFQDJTMRPWVSAPMRWBSIP,VIGENERE,CYILU
ciphertext only attack scenario!,9F958C94998E88998488DC93929085DC9D88889D9F97DC8F9F99929D8E9593DD,XOR,252
Ciphertext only attack scenario,GMTLIVXIBXSRPCEXXEGOWGIREVMS,CAESAR,4
CLASSICAL CIPHERS ARE EDUCATIONAL,B4BBB6A4A4BEB4B6BBD7B4BEA7BFB2A5A4D7B6A5B2D7B2B3A2B4B6A3BEB8B9B6BB,XOR,247
classical ciphers are educational,WFUMMCWUFWCJBYLMULYYXOWUNCIHUF,CAESAR,20
Random forest is a strong classifier,98ABA4AEA5A7EAACA5B8AFB9BEEAA3B9EAABEAB9BEB8A5A4ADEAA9A6ABB9B9A3ACA3AFB8,XOR,202
data preprocessing is important!,989D889DDC8C8E998C8E939F998F8F95929BDC958FDC95918C938E889D9288DD,XOR,252
ciphertext only attack scenario,KJLUMSPRFUKATZWGBBYXADAAISEB,VIGENERE,IBWN
>> cryptography is fun,8E8E90D3C2C9C0C4DFD7C2D1C0D8C990D9C390D6C5DE,XOR,176
This project uses python,ORBNZKJTXXDNNOLKIMCYG,VIGENERE,VKT
data preprocessing is important,83869386C7979582979588848294948E8980C78E94C78E8A97889593868993,XOR,231
>> classical ciphers are educational,MXWBJMMMHLZTRQNBRVOQZDTEDUKWRP,VIGENERE,KMWJRE
this project uses python!,85999882D181839E9B949285D184829482D1818885999E9FD0,XOR,241
RANDOM FOREST IS A STRONG CLASSIFIER,C0D3DCD6DDDFB2D4DDC0D7C1C6B2DBC1B2D3B2C1C6C0DDDCD5B2D1DED3C1C1DBD4DBD7C0,XOR,146
classical ciphers are educational!,B5BAB7A5A5BFB5B7BAF6B5BFA6BEB3A4A5F6B7A4B3F6B3B2A3B5B7A2BFB9B8B7BAF7,XOR,214
Cryptography is fun,PQQIGNYKNOZRVRXNA,VIGENERE,NZST
data preprocessing is important!,YGJPOQZVHDBDNYYCFHNOCENQOGDI,VIGENERE,VGQPZZ
artificial intelligence changes security,CPADOKAPVUKLAZUNGNZWECJCJPELNBGABMRVW,VIGENERE,CYHVJ
THIS PROJECT USES PYTHON,UIJTQSPKFDUVTFTQZUIPO,CAESAR,1
CRYPTOGRAPHY IS FUN,QESDGIUEUDUSWFZIA,VIGENERE,ONU
SECURITY DEPENDS ON IMPLEMENTATION,E0F6F0E6E1FAE7EA93F7F6E3F6FDF7E093FCFD93FAFEE3FFF6FEF6FDE7F2E7FAFCFD,XOR,179
random forest is a strong classifier!,VUJDSGBOVYOTMMWSXLKNKWHAWMEFMYN,VIGENERE,EUWA
machine learning enhances cryptanalysis!,SGINOTKRKGXTOTMKTNGTIKYIXEVZGTGREYOY,CAESAR,6
ciphertext only attack scenario!,UAHZWJLWPLGFDQSLLSUCKUWFSJAG,CAESAR,18
this project uses python,SVDIOFJZDQOKRSNFXHCEM,VIGENERE,ZOVQ
>> ciphertext only attack scenario,VFFUVFMBNGFBEVQGKOVHIPVBTOYB,VIGENERE,TXQNRO
artificial intelligence changes security!,YYNQDGJCIJGUNMJJPAMLALWPYLNYAQCJOZGRF,VIGENERE,YHUIY
ciphertext only attack scenario!,5D574E565B4C4A5B464A1E515052471E5F4A4A5F5D551E4D5D5B505F4C57511F,XOR,62
classical ciphers are educational!,ZIXPPFZXIZFMEBOPXOBBARZXQFLKXI,CAESAR,23
CLASSICAL CIPHERS ARE EDUCATIONAL,MCCWWSTCPGSGJIVCRTIINLEEXSFPEP,VIGENERE,KRCEE
this project uses python!,5C40415B08585A47424D4B5C085D5B4D5B0858515C40474609,XOR,40
this project uses python,DYWFQXYASPUACVGCZZRFB,VIGENERE,KRONBG
random forest is a strong classifier!,81929D979C9ED3959C81968087D39A80D392D38087819C9D94D3909F9280809A959A9681D2,XOR,243
>> cryptography is fun,CCHNFBGCJNTLIDOSZ,VIGENERE,ALJYMN
>> ciphertext only attack scenario,D8D8C6858F968E839492839E92C689888A9FC687929287858DC69585838887948F89,XOR,230
this project uses python!,CQRBYAXSNLCDBNBYHCQXW,CAESAR,9
random forest is a strong classifier!,ENAQBZSBERFGVFNFGEBATPYNFFVSVRE,CAESAR,13
data preprocessing is important!,4F4A5F4A0B5B594E5B5944484E585842454C0B42580B42465B44595F4A455F0A,XOR,43
SIDE CHANNEL ATTACKS ARE DANGEROUS,DAC0CDCCA9CAC1C8C7C7CCC5A9C8DDDDC8CAC2DAA9C8DBCCA9CDC8C7CECCDBC6DCDA,XOR,137
cryptography is fun!,F2E3E8E1E5FEF6E3F0E1F9E8B1F8E2B1F7E4FFB0,XOR,145
cryptography is fun,0D1C171E1A01091C0F1E06174E071D4E081B00,XOR,110
artificial intelligence changes security!,CTVKHKEKCNKPVGNNKIGPEGEJCPIGUUGEWTKVA,CAESAR,2
classical ciphers are educational!,QVKQGSMYZMSNVOBQOBOCREMYHSYLOV,VIGENERE,OKKY
Random forest is a strong classifier,TPNAFOUOOVUIIPRUIRLEIRLXJUXFFVT,VIGENERE,CPAXR
Cryptography is fun,XMTKOJBMVKCTDNAPI,CAESAR,21
machine learning enhances cryptanalysis,UIKPQVMTMIZVQVOMVPIVKMAKZGXBIVITGAQA,CAESAR,8
this project uses python,5C40415B08585A47424D4B5C085D5B4D5B0858515C404746,XOR,40
THIS PROJECT USES PYTHON,LNWKVFGPSUZIKKGHEHZUB,VIGENERE,SGO
Classical ciphers are educational,WFUMMCWUFWCJBYLMULYYXOWUNCIHUF,CAESAR,20
security depends on implementation,COMEBSDINOZOXNCYXSWZVOWOXDKDSYX,CAESAR,10
>> machine learning enhances cryptanalysis,WKMRSXOVOKBXSXQOXRKXMOCMBIZDKXKVICSC,CAESAR,10
security depends on implementation!,UWYOTAPSFWLYPVOIPAIJNWIYPLWNKGJ,VIGENERE,CSWU
this project uses python,B2AEAFB5E6B6B4A9ACA3A5B2E6B3B5A3B5E6B6BFB2AEA9A8,XOR,198
>> classical ciphers are educational,VETLLBVTEVBIAXKLTKXXWNVTMBHGTE,CAESAR,19
Cryptography is fun,2D1C171E1A01091C0F1E06174E071D4E081B00,XOR,110
data preprocessing is important,C2C7D2C786D6D4C3D6D4C9C5C3D5D5CFC8C186CFD586CFCBD6C9D4D2C7C8D2,XOR,166
data preprocessing is important,GNEUDNHCCIQAVFTHUEVVXJCNWNYN,VIGENERE,DNLUOW
artificial intelligence changes security!,YPRGDGAGYJGLRCJJGECLACAFYLECQQCASPGRW,CAESAR,24
Ciphertext only attack scenario,8CA6BFA7AABDBBAAB7BBEFA0A1A3B6EFAEBBBBAEACA4EFBCACAAA1AEBDA6A0,XOR,207
ciphertext only attack scenario!,ZAXRLTQWFDVPIQIDACZCAMLPXJQY,VIGENERE,XSIKHC
classical ciphers are educational!,BKZRRHBZKBHOGDQRZQDDCTBZSHNMZK,CAESAR,25
>> side channel attacks are dangerous,92928CDFC5C8C98CCFC4CDC2C2C9C08CCDD8D8CDCFC7DF8CCDDEC98CC8CDC2CBC9DEC3D9DF,XOR,172
Random forest is a strong classifier,HQDTECVEHUIJYIQIJHEDWSBQIIYVYUH,CAESAR,16
DATA PREPROCESSING IS IMPORTANT,OZBKAQMZCNKODRQXRHASXOWBEZVD,VIGENERE,LZIK
>> classical ciphers are educational,DCDCC2818E8391918B81838EC2818B928A879091C2839087C28786978183968B8D8C838E,XOR,226
>> classical ciphers are educational,TCRJJZTRCTZGYVIJRIVVULTRKZFERC,CAESAR,17
this project uses python,RFGQNPMHCARSQCQNWRFML,CAESAR,24
random forest is a strong classifier!,B1A2ADA7ACAEE3A5ACB1A6B0B7E3AAB0E3A2E3B0B7B1ACADA4E3A0AFA2B0B0AAA5AAA6B1E2,XOR,195
this project uses python!,C3DFDEC497C7C5D8DDD2D4C397C2C4D2C497C7CEC3DFD8D996,XOR,183
side channel attacks are dangerous!,VLGHFKDQQHODWWDFNVDUHGDQJHURXV,CAESAR,3
CLASSICAL CIPHERS ARE EDUCATIONAL,LGSDBDULUXAAQZJDJMWPMPULCDGYJG,VIGENERE,JVSL
>> side channel attacks are dangerous,6767792A303D3C793A313837373C3579382D2D383A322A79382B3C793D38373E3C2B362C2A,XOR,89
>> random forest is a strong classifier,NOVMWITWAMOHQBIOHZXVCQTJAOWNRMN,VIGENERE,WOIJI
this project uses python,465A5B411242405D58575146124741574112424B465A5D5C,XOR,50
data preprocessing is important,EEEBFEEBAAFAF8EFFAF8E5E9EFF9F9E3E4EDAAE3F9AAE3E7FAE5F8FEEBE4FE,XOR,138
ARTIFICIAL INTELLIGENCE CHANGES SECURITY,YPRGDGAGYJGLRCJJGECLACAFYLECQQCASPGRW,CAESAR,24
Side channel attacks are dangerous,C4FEF3F2B7F4FFF6F9F9F2FBB7F6E3E3F6F4FCE4B7F6E5F2B7F3F6F9F0F2E5F8E2E4,XOR,151
>> ciphertext only attack scenario,IRWNNYZNEZXURHHZCHITZINUGAPU,VIGENERE,GJH
DATA PREPROCESSING IS IMPORTANT,ZRXWGVAGVKTIOJMJXMOZQLFVPRRP,VIGENERE,WRE
classical ciphers are educational,UDSKKAUSDUAHZWJKSJWWVMUSLAGFSD,CAESAR,18
CLASSICAL CIPHERS ARE EDUCATIONAL,9C939E8C8C969C9E93FF9C968F979A8D8CFF9E8D9AFF9A9B8A9C9E8B9690919E93,XOR,223
side channel attacks are dangerous,LBWXVATGGXETMMTVDLTKXWTGZXKHNL,CAESAR,19
classical ciphers are educational!,MQBAHLMFMKXSRJSAPUOJECRDDNPVPO,VIGENERE,KFBIPD
machine learning enhances cryptanalysis!,EUXZCIWFZSLIAHBWHCSHXWMXJSKLUISFTKCN,VIGENERE,SUV
CRYPTOGRAPHY IS FUN,VKRIMHZKTIARBLYNG,CAESAR,19
classical ciphers are educational,GPEWWMGEPGMTLIVWEVIIHYGEXMSREP,CAESAR,4
ciphertext only attack scenario!,FAF0E9F1FCEBEDFCE1EDB9F6F7F5E0B9F8EDEDF8FAF2B9EAFAFCF7F8EBF0F6B8,XOR,153
SECURITY DEPENDS ON IMPLEMENTATION,31272137302B363B42262732272C2631422D2C422B2F322E272F272C3623362B2D2C,XOR,98
side channel attacks are dangerous!,BAWFVEJFGFEXCLTDDPJJXETKPWKPNP,VIGENERE,JSTBTX
MACHINE LEARNING ENHANCES CRYPTANALYSIS,7A76747F7E7972177B727665797E79701772797F76797472641774656E67637679767B6E647E64,XOR,55
classical ciphers are educational,KTIAAQKITKQXPMZAIZMMLCKIBQWVIT,CAESAR,8
>> artificial intelligence changes security,GXZOLOIOGROTZKRROMKTIKINGTMKYYKIAXOZE,CAESAR,6
cryptography is fun!,LSFYPXPSHYDHRTMDJ,VIGENERE,JBHJWJ
side channel attacks are dangerous,4F5558591C5F545D525259501C5D48485D5F574F1C5D4E591C585D525B594E53494F,XOR,60
>> classical ciphers are educational,F0F0EEADA2AFBDBDA7ADAFA2EEADA7BEA6ABBCBDEEAFBCABEEABAABBADAFBAA7A1A0AFA2,XOR,206
this project uses python!,LZAKHJGBWULMKWKHQLZGF,CAESAR,18
THIS PROJECT USES PYTHON,VINRRSTIGDYTUFXOAUMNP,VIGENERE,CBFZ
>> classical ciphers are educational,EAEAF4B7B8B5A7A7BDB7B5B8F4B7BDA4BCB1A6A7F4B5A6B1F4B1B0A1B7B5A0BDBBBAB5B8,XOR,212
Security depends on implementation,GALINRHUMSLNBZBCJRALUSINBPJHEXB,VIGENERE,OWJ
Random forest is a strong classifier,D9EAE5EFE4E6ABEDE4F9EEF8FFABE2F8ABEAABF8FFF9E4E5ECABE8E7EAF8F8E2EDE2EEF9,XOR,139
side channel attacks are dangerous!,MCXYWBUHHYFUNNUWEMULYXUHAYLIOM,CAESAR,20
cryptography is fun!,30212A23273C342132233B2A733A207335263D72,XOR,83
Security depends on implementation,VHFXULWBGHSHQGVRQLPSOHPHQWDWLRQ,CAESAR,3
>> this project uses python,CACAD4809C9D87D484869B9E919780D481879187D4848D809C9B9A,XOR,244
Cryptography is fun,4879727B7F646C796A7B63722B62782B6D7E65,XOR,11
artificial intelligence changes security!,C6D5D3CEC1CEC4CEC6CB87CEC9D3C2CBCBCEC0C2C9C4C287C4CFC6C9C0C2D487D4C2C4D2D5CED3DE86,XOR,167
Side channel attacks are dangerous,LBWXVATGGXETMMTVDLTKXWTGZXKHNL,CAESAR,19
random forest is a strong classifier!,HQDTECVEHUIJYIQIJHEDWSBQIIYVYUH,CAESAR,16
data preprocessing is important!,YDYKCMHUBBXHXCVIJNCVHSTBGVQY,VIGENERE,VDFKN
Side channel attacks are dangerous,A19B9697D2919A939C9C979ED293868693919981D2938097D296939C9597809D8781,XOR,242
>> random forest is a strong classifier,GPCSDBUDGTHIXHPHIGDCVRAPHHXUXTG,CAESAR,15
Machine learning enhances cryptanalysis,PYOXIQCXUAULUDGHLTQNFCESRBNFQNDJKIIV,VIGENERE,DYMQA
ciphertext only attack scenario!,IYANUCZUIZEYROLZJLIADIUYGHTU,VIGENERE,GQL
security depends on implementation!,01171107001B060B52161702171C1601521D1C521B1F021E171F171C0613061B1D1C53,XOR,114
CRYPTOGRAPHY IS FUN,LFUECCCGJDDNRGBJW,VIGENERE,JOWP
machine learning enhances cryptanalysis,F1FDFFF4F5F2F9BCF0F9FDEEF2F5F2FBBCF9F2F4FDF2FFF9EFBCFFEEE5ECE8FDF2FDF0E5EFF5EF,XOR,156
THIS PROJECT USES PYTHON,KUKJCTFWGTGWJRUGLVYBP,VIGENERE,RNC
this project uses python,NLXMTGINTWXJMIHJCIBSC,VIGENERE,UEP
>> classical ciphers are educational,787866252A2735352F25272A66252F362E23343566273423662322332527322F2928272A,XOR,70
random forest is a strong classifier!,FRRPCDJAFVWFWJEEHISZUTPMGJMRWVV,VIGENERE,OREM
>> this project uses python,FEFEE0B4A8A9B3E0B0B2AFAAA5A3B4E0B5B3A5B3E0B0B9B4A8AFAE,XOR,192
artificial intelligence changes security,KQJQFRMHQTIWDDBTIPOMSMCQKMWMSBOBKZICI,VIGENERE,KZQIAJ
>> classical ciphers are educational,979789CAC5C8DADAC0CAC8C589CAC0D9C1CCDBDA89C8DBCC89CCCDDCCAC8DDC0C6C7C8C5,XOR,169
SIDE CHANNEL ATTACKS ARE DANGEROUS,DSUCTTLXECCMEDRABELBVBRZROIMLE,VIGENERE,LKRYRM
Side channel attacks are dangerous,PFABZEXKKBIXQQXZHPXOBAXKDBOLRP,CAESAR,23
>> this project uses python,RUJCNEPTCPUEQRTZWGIYL,VIGENERE,YNBK
side channel attacks are dangerous!,HJHURIEDCFPQIUESZTEHTEEDVFVEJT,VIGENERE,PBEQ
Security depends on implementation,HTRJGXINSTETCSHDCXBEATBTCIPIXDC,CAESAR,15
>> machine learning enhances cryptanalysis,JEPEMABPRXVAFRTBRUXRPBWPOCCQEAXPLPMF,VIGENERE,XEN
artificial intelligence changes security,KKPUZSVEMFSGPQFVBCQHMXYTUXZAEMOVQDCDR,VIGENERE,KTWMU
Machine learning enhances cryptanalysis,91BDBFB4B5B2B9FCB0B9BDAEB2B5B2BBFCB9B2B4BDB2BFB9AFFCBFAEA5ACA8BDB2BDB0A5AFB5AF,XOR,220
ciphertext only attack scenario!,TJIJLLKFQVVHCZTVAUTLLELHRSBQ,VIGENERE,RBTCHU
CLASSICAL CIPHERS ARE EDUCATIONAL,5B54594B4B515B5954385B5148505D4A4B38594A5D385D5C4D5B594C5157565954,XOR,24
random forest is a strong classifier,C7D4DBD1DAD895D3DAC7D0C6C195DCC695D495C6C1C7DADBD295D6D9D4C6C6DCD3DCD0C7,XOR,181
machine learning enhances cryptanalysis!,JXZEFKBIBXOKFKDBKEXKZBPZOVMQXKXIVPFP,CAESAR,23
classical ciphers are educational,NWLDDTNLWNTASPCDLCPPOFNLETZYLW,CAESAR,11
Cryptography is fun,PVFFGBKYQCUCPISHR,VIGENERE,NEHQN
SECURITY DEPENDS ON IMPLEMENTATION,YKIAXOZEJKVKTJYUTOSVRKSKTZGZOUT,CAESAR,6
>> machine learning enhances cryptanalysis,BSGOXFISTSVUXFKLCZEURWWJGQTAPFESNKMZ,VIGENERE,PSEH
Side channel attacks are dangerous,NICSLCAMBNGASHJXKROAZDZBPZRNIB,VIGENERE,VAZOJ
CIPHERTEXT ONLY ATTACK SCENARIO,RXEWTGITMIDCANPIIPRZHRTCPGXD,CAESAR,15
>> data preprocessing is important,ZIHJVDAXFXIQOAWWMUOQAYUDPIBC,VIGENERE,WIOJGM
side channel attacks are dangerous,FVQRPUNAARYNGGNPXFNERQNATREBHF,CAESAR,13
Security depends on implementation,1F292F393E2538356C28293C2922283F6C23226C25213C2029212922382D38252322,XOR,76
classical ciphers are educational,050A0715150F05070A46050F160E03141546071403460302130507120F0908070A,XOR,102
classical ciphers are educational,BDB2BFADADB7BDBFB2FEBDB7AEB6BBACADFEBFACBBFEBBBAABBDBFAAB7B1B0BFB2,XOR,222
>> cryptography is fun,BEBEA0E3F2F9F0F4EFE7F2E1F0E8F9A0E9F3A0E6F5EE,XOR,128
CLASSICAL CIPHERS ARE EDUCATIONAL,8D828F9D9D878D8F82EE8D879E868B9C9DEE8F9C8BEE8B8A9B8D8F9A8781808F82,XOR,206
DATA PREPROCESSING IS IMPORTANT,757065701161637461637E72746262787F7611786211787C617E6365707F65,XOR,49
